PROCESSO,COD_ASSUNTO,ASSUNTO,DESIGNACAO,TITULO,DATA_ABERTURA_PROCESSO
2.6.17.252.2014.5-DOT,130,ELEIÇÃO DE COMISSÕES DE TRABALHADORES,ELEIÇÃO DE COM. DE TRABALHADORES,"VIMÁGUA-EMPRESA DE ÁGUA E SANEAMENTO DE GUIMARÃES E VIZELA-EIM, SA- CE 9.72",2014.04.30 00:00:00
2.4.85.253.2014.0-DOT,137,ANULAÇÃO DE NORMAS ESTATUTÁRIAS,ANULAÇÃO DE NORMAS DE ESTATUTOS OU DE DELIBERAÇOES ,CONFEDERAÇÃO GERAL DOS TRABALHADORES PORTUGUESES-INTERSINDICAL NACIONAL- CE 4.1,2014.04.30 00:00:00
2.5.15.189.2014.2-DOT,120,ELEIÇÃO DE CORPOS GERENTES,ELEIÇÃO DE CORPOS GERENTEES DE ASS. PATRONAL,AEP - ASSOCIAÇÃO EMPRESARIAL DE PENAFIEL (5.187),2014.04.01 00:00:00
2.4.14.190.2014.1-DOT,140,EXTINÇÃO JUDICIAL DE ASSOC. SINDICAIS E DE EMPREGADORES,ALTERAÇÃO DE ESTATUTOS DE ASS. SINDICAL,"FESAHT- FEDERAÇÃO DOS SINDICATOS DA AGRICULTURA, ELIMENTAÇÃO, BEBIDAS E HOTELARIA    C.C. 2.40",2014.04.01 00:00:00
2.5.14.200.2014.3-DOT,142,ALTERAÇAO DE ESTATUTOS DE ORGANIZAÇOES DO TRABALHO (ART.8.º L 7/2009),ALTERAÇÃO DE ESTATUTOS DE ASS. PATRONAL,AEP - ASSOCIAÇÃO EMPRESARIAL DE PENAFIE (5.187),2014.04.04 00:00:00
2.5.15.203.2014.7-DOT,120,ELEIÇÃO DE CORPOS GERENTES,ELEIÇÃO DE CORPOS GERENTEES DE ASS. PATRONAL,ASSOCIAÇÃO EMPRESARIAL DE ÁGUEDA  (5.279),2014.04.04 00:00:00
2.6.17.312.2014.2-DOT,130,ELEIÇÃO DE COMISSÕES DE TRABALHADORES,ELEIÇÃO DE COM. DE TRABALHADORES," PETROGAL, SA (79) SUBSTITUIÇÃO",2014.05.21 00:00:00
2.5.15.321.2014.8-DOT,120,ELEIÇÃO DE CORPOS GERENTES,ELEIÇÃO DE CORPOS GERENTEES DE ASS. PATRONAL,AIPPA - ASSOC. INDUSTRIAL PORTUGUESA DOS PRODUTORES DE ARGAMASSAS (559),2014.05.22 00:00:00
2.6.17.235.2014.6-DOT,130,ELEIÇÃO DE COMISSÕES DE TRABALHADORES,ELEIÇÃO DE COM. DE TRABALHADORES,MANUTENÇÃO MILITAR   C.E. 9.657,2014.04.28 00:00:00
2.4.15.255.2014.4-DOT,120,ELEIÇÃO DE CORPOS GERENTES,ELEIÇÃO DE CORPOS GERENTES DE ASS. SINDICAL,UNICAO DOS SINDICATOS DO DISTRITO DE LEIRIA (3-41),2014.05.02 00:00:00
2.5.15.302.2014.7-DOT,120,ELEIÇÃO DE CORPOS GERENTES,ELEIÇÃO DE CORPOS GERENTEES DE ASS. PATRONAL,ASSOCIAÇÃO PORTUGUESA DA INDUSTRIA DE PLASTICOS- CE 5.72,2014.05.20 00:00:00
2.6.14.304.2014.0-DOT,123,ALTERAÇÃO DE ESTATUTOS,ALT. ESTATUTOS C. TRAB.,"INTERBOLSA, SA - CE 9.410",2014.05.20 00:00:00
