Nº Entrada,Data entrada,Entidade Sindical,Entidade Patronal,CAE,NIF,Designação,Início,Fim,Observações,ANO,MÊS
,,"STFCMM - SINDICATO DOS TRANSPORTES FLUVIAIS, COSTEIROS, E DA MARINHA MERCANTE / SITEMAQ - Sindicato da Mestrança e Marinhagem da Marinha Mercante, Energia e Fogueiros de Terra / SNTSF - Sindicato Nacional dos Trabalhadores do Sector Ferroviário / SIMAMEVIP - Sindicato dos Trabalhadores da Marinha Mercante, Agências de Viagens, Transitários e Pesca","SOFLUSA-SOCIEDADE FLUVIAL DE TRANSPORTES, SA",50102,,Empresa,30-Jan,,Plenário das 13:55 às 15:55,2014,2
Nº 159,24-Feb,"STIHTRSN - Sindicato dos Trabalhadores da Indústria de Hotelaria, Turismo, Restaurantes e Similares do Norte","GERTAL - COMPANHIA GERAL DE RESTAURANTES E ALIMENTAÇÃO, SA (nas cantinas dos Hospitais)",56290,,Empresa,13-Mar,,,2014,2
Nº 150,24-Feb-14,"STIHTRSN - Sindicato dos Trabalhadores da Indústria de Hotelaria, Turismo, Restaurantes e Similares do Norte","ITAU - INSTITUTO TÉCNICO DE ALIMENTAÇÃO HUMANA, SA (trabalhadores que exercem funções nas cantinas dos hospitais)",56290,,Empresa,13-Mar-14,,,2014,2
Nº 159,20-Feb-14,"SITE-NORTE - Sindicato dos Trabalhadores das Indústrias Transformadoras, Energia e Actividades do Ambiente do Norte",BOSCH CAR MULTIMEDIA PORTUGAL SA,26400,,Empresa,03-Mar-14,,,2014,2
Nº 124,12-Feb-14,"SITE-NORTE - Sindicato dos Trabalhadores das Indústrias Transformadoras, Energia e Actividades do Ambiente do Norte","CEM - COMPANHIA EDITORA DO MINHO, SA",18120,,Empresa,20-Feb-14,31-Dec-14,,2014,2
Nº 152,21-Feb,"SITE-NORTE - Sindicato dos Trabalhadores das Indústrias Transformadoras, Energia e Actividades do Ambiente do Norte","CNB CAMAC-COMPANHIA NACIONAL DE BORRACHAS, SA",22111,,Empresa,28-Feb,TI,GREVE CANCELADA a 20-3,2014,2
Nº 132,14-Feb,"SITE Centro Norte - Sindicato dos Trabalhadores das Indústrias Transformadoras, Energia e Actividades do Ambiente do Centro e Norte","Fábrica  Papel Cartão  Zarrinha, S.A",17211,,Empresa,05-Dec-13,26-Dec-13,"Greve dias 6, 13, 20 e 27/3 entre as 22 e as 24H",2014,2
Nº 147,20-Feb,"SITE-CSRA - Sindicato dos Trabalhadores das Indústrias Transformadoras, Energia e Actividades do Ambiente do Centro Sul e Regiões Autónomas","IMPRENSA NACIONAL-CASA DA MOEDA, SA",18120,,Empresa,28-Feb,03-Mar,,2014,2
Nº 153,21-Feb,"STAD - Sindicato dos Trabalhadores de Serviços de Portaria, Vigilância, Limpeza, Domésticas e Actividades Diversas",Lourilimpeza (no SMTUC - Autocarros dos Serviços Municipalizados de Coimbra),81210,,Empresa,10-Mar,,,2014,2
Nº 161,24-Feb-14,CESP - Sindicato dos Trabalhadores do Comércio Escritórios e Serviços de Portugal,"MOVIFLOR - COMÉRCIO DE MOBILIÁRIO, SA",47591,,Empresa,04-Mar-14,31-Mar-14,,2014,2
Nº 155,21-Feb-14,"STIHTRSN - Sindicato dos Trabalhadores da Indústria de Hotelaria, Turismo, Restaurantes e Similares do Norte","Nobrecer, Lda. (na cantina dos Serviços da Câmara Municipal do Porto)",56290,,Empresa,11-Mar,TI,,2014,2
