Nº Entrada,Data entrada,Entidade Sindical,Entidade Patronal,CAE,NIF,Designação,Início,Fim,Observações,ANO,MÊS
1,02-Jan,FECTRANS - Federação dos Sindicatos de Transportes e Comunicações / STTM - Sindicato dos Trabalhadores da Tracção do Metropolitano / SINDEM - Sindicato da Manutenção do Metropolitano / SITRA - Sindicato dos Trabalhadores dos Transportes ,Metropolitano de Lisboa - EPE,49310,,Empresa,15-Jan,,"Greve entre as 6 e as 10H para a generalidade dos trab. e entre as 8 e as 12H para trab. Administrativos, apoio e técnicos superiores",2013,1
2,02-Jan,SMAQ - Sindicato Nacional dos Maquinistas dos Caminhos de Ferro portugueses,"MTS - Metro, Transportes do Sul, SA",49310,,Empresa,16-Jan,15-Feb,,2013,1
3,02-Jan,SENSIQ - Sindicato de Quadros e Técnicos,Metropolitano de Lisboa - EPE,49310,,Empresa,15-Jan,,Entre as 8:30 e as 12:30,2013,1
9,02-Jan,SFRCI - Sindicato Ferroviário da Revisão Comercial Itinerante ,"CP - Comboios de Portugal, EPE",49100,,Empresa,20-Jan,,,2013,1
10,03-Jan,"SITE SUL - Sindicato dos Trabalhadores das Indústrias Transformadoras, Energia e Actividades do Ambiente do Sul","Lisnave - Estaleiros Navais, SA / Lisnaveyards - Naval Services, Lda.",33150,,2 Empresas,10-Jan,10-Jul,,2013,1
Nº 9,02-Jan-13,STSTA - Sindicato dos Trabalhadores do Sector Têxtil de Aveiro ,"Royal Label - Têxteis, Unipessoal Lda",14131,,Empresa,10-Jan-13,,,2013,1
17,07-Jan,SINFB - Sindicato Independente Nacional dos Ferroviários,"REFER - Rede Ferroviária Nacional, EPE / CP - Comboios de Portugal, EPE / CP Carga - Logística e Transportes Ferroviários de Mercadorias SA",52211 / 49100 / 49200,,3 Empresas,18-Jan,28-Feb,,2013,1
Nº 33-2,04-Jan-13,STRUN - Sindicato dos Trabalhadores de Transportes Rodoviários e Urbanos do Norte ,"Transportes Silva Marques, Ldª.",49410,,Empresa,20-Jan-13,22-Jan-13,,2013,1
Nº 33-2,04-Jan-13,STRUN - Sindicato dos Trabalhadores de Transportes Rodoviários e Urbanos do Norte ,"TRACAR - Transportes de Carga e Comércio, S.A.",49410,,Empresa,20-Jan-13,22-Jan-13,,2013,1
24,08-Jan,FECTRANS - Federação dos Sindicatos de Transportes e Comunicações / STTM - Sindicato dos Trabalhadores da Tracção do Metropolitano / SINDEM - Sindicato da Manutenção do Metropolitano / SITRA - Sindicato dos Trabalhadores dos Transportes ,Metropolitano de Lisboa - EPE,49310,,Empresa,22-Jan,,"Greve entre as 6 e as 10H para a generalidade dos trab. e entre as 8:30 e as 12:30H para trab. Administrativos, apoio e técnicos superiores",2013,1
Nº 39,07-Jan-13,"SITE-NORTE - Sindicato dos Trabalhadores das Indústrias Transformadoras, Energia e Actividades do Ambiente do Norte","FPS - Fábrica Portuguesa de Segmentos, Ldª",78300,,Empresa,15-Jan-13,31-Dec-13,,2013,1
Nº 57,10-Jan-13,SINTAP - Sindicato dos Trabalhadores da Administração Pública ,Câmara Municipal de Coimbra,84113,,FP-Câmara,25-Jan-13,30-Jun-13,,2013,1
28 e 112,09-Jan,"SITE-CSRA - Sindicato dos Trabalhadores das Indústrias Transformadoras, Energia e Actividades do Ambiente do Centro Sul e Regiões Autónomas","Sorel, S.A. / Stand Moderno",45110,,2 Empresas,17-Jan,TI,A partir das 15:30,2013,1
40 e Nº 66,10-01-2013 e 11-1-2013,STMT - Sindicato Têxtil do Minho e Trás-os-Montes,"ATP Associação Têxtil e Vestuário de Portugal / ANIVEC/APIV - Associação Nacional das Indústrias de Vestuário e Confecção / ANIT-LAR Associação Nacional das Indústrias de Têxteis-Lar / ANIL - Associação Nacional dos Industriais de Lanificios / ANASEL — Associação Nacional de Serviços de Limpeza a Seco, Lavandaria e Tinturaria / AICR – Associação dos Industriais de Cordoaria e Redes / Associação dos Indústriais de Chapelaria / e todo o âmbito e área estatutária do Sindicato",n,,Sectores,19-Jan,01-Jan,,2013,1
41,10-Jan,"SITE SUL - Sindicato dos Trabalhadores das Indústrias Transformadoras, Energia e Actividades do Ambiente do Sul",SINDUFLEX-COMERCIALIZAÇÃO DE CONTENTORES E SISTEMAS INDUSTRIAIS FLEXIVEIS LDA (Trab. Colocados na Auto-Europa),43290,,Empresa,17-Jan,TI,Trab. Colocados na Auto-Europa,2013,1
42,10-Jan,SIESI - Sindicato das Indústrias Eléctricas do Sul e Ilhas,"KEMET ELECTRONICS PORTUGAL, SA",27900,,Empresa,17-Jan,18-Jan,,2013,1
54,14-Jan,SENSIQ - Sindicato de Quadros e Técnicos,Metropolitano de Lisboa - EPE,49310,,Empresa,29-Jan,,Das 8:30 às 12:30,2013,1
Nº 60,10-Jan-13,"SITE Centro Norte - Sindicato dos Trabalhadores das Indústrias Transformadoras, Energia e Actividades do Ambiente do Centro e Norte","Fábrica  Papel Cartão  Zarrinha, S.A",17211,,Empresa,07-Feb-13,28-Feb-13,"Greve 7, 14, 21 e 28 de Fevereiro de 2013 ( turnos: das 22 horas às 24 horas).",2013,1
55,14-Jan,FECTRANS - Federação dos Sindicatos de Transportes e Comunicações / STTM - Sindicato dos Trabalhadores da Tracção do Metropolitano / SINDEM - Sindicato da Manutenção do Metropolitano / SITRA - Sindicato dos Trabalhadores dos Transportes ,Metropolitano de Lisboa - EPE,49310,,Empresa,29-Jan,,"Greve entre as 6 e as 10H para a generalidade dos trab. e entre as 8:30 e as 12:30H para trab. Administrativos, apoio e técnicos superiores",2013,1
61 e nº 80,16-Jan,"STSSSS - Sindicato dos Trabalhadores da Saúde, Solidariedade e Segurança Social",Centro Social Infantil da Cruz de Pau,94991,,FP - Câmara,21-Jan,,Entre as 14:00 e as 19:30,2013,1
62,16-Jan,"FIEQUIMETAL - Federação Intersindical das Indústrias Metalúrgicas, Químicas, Eléctricas, Farmacêutica, Celulose, Papel, Gráfica, Imprensa, Energia e Minas","Thyssenkrupp, Elevadores, SA",28221,,Empresa,23-Jan,,,2013,1
66,17-Jan,"FEPCES - Federação Portuguesa dos Sindicatos do Comércio, Escritórios e Serviços","Confederação do Comércio e Serviços de Portugal  / Confederação Empresarial de Portugal  / Confederação dos Agricultores de Portugal  / Confederação do Turismo Português / APED - Associação Portuguesa de Empresas de Distribuição  / CNIS - Confederação Nacional das Instituições de Solidariedade Social / UMP - União das Misericórdias Portuguesas  / todos os trab. Dos sectores do Comércio, Escritórios e Serviços.",n,,Sectores,15-Jan,30-Jun,,2013,1
73-5,18-Jan,SNTSF - Sindicato Nacional dos Trabalhadores do Sector Ferroviário,"REFER - Rede Ferroviária Nacional, EPE",52211,,Empresa,01-Feb,28-Aug,,2013,1
73-5,18-Jan,SNTSF - Sindicato Nacional dos Trabalhadores do Sector Ferroviário,"CP - Comboios de Portugal, EPE",49100,,Empresa,01-Feb,28-Aug,,2013,1
73-5,18-Jan,SNTSF - Sindicato Nacional dos Trabalhadores do Sector Ferroviário,CP Carga - Logística e Transportes Ferroviários de Mercadorias SA,49200,,Empresa,01-Feb,28-Aug,,2013,1
73-5,18-Jan,SNTSF - Sindicato Nacional dos Trabalhadores do Sector Ferroviário,"EMEF - Empresa de Manutenção e Equipamento Ferroviário, SA ",33171,,Empresa,01-Feb,28-Aug,,2013,1
73-5,18-Jan,SNTSF - Sindicato Nacional dos Trabalhadores do Sector Ferroviário,CP Carga - Logística e Transportes Ferroviários de Mercadorias SA,49200,,Empresa,01-Feb,28-Aug,,2013,1
63,16-Jan,"STAD - Sindicato dos Trabalhadores de Serviços de Portaria, Vigilância, Limpeza, Domésticas e Actividades Diversas",APFS - Associação Portuguesa de Facility Services / Aes - Associação de Empresas de Segurança / AERSIF - Associação Nacional de Empresas Segurança / e todas as empresas pertencentes aos serviços de limpeza industrial e de vigilância privada,812  / 801,,Sectores,16-Jan,31-Dec,,2013,1
64,17-Jan,SMAQ - Sindicato Nacional dos Maquinistas dos Caminhos de Ferro portugueses,"CP - Comboios de Portugal, EPE / CP Carga - Logística e Transportes Ferroviários de Mercadorias SA",49100 / 49200,,2 Empresas,31-Jan,28-Feb,,2013,1
75 e Nº 115,18-01-2013 e 24-1-2013,SEP - Sindicato dos Enfermeiros Portugueses,Agrupamentos de Centros de Saúde do âmbito da Administração Regional de Saúde do Norte -  Enfermeiros c/ Contrato deTrabalho em Funções Públicas a Termo Certo,86903,,Sector,05-Feb,,,2013,1
72,18-Jan,SITRENS - Sindicato Nacional Ferroviário do Pessoal de Trens,"CP - Comboios de Portugal, EPE / CP Carga - Logística e Transportes Ferroviários de Mercadorias SA",49100 / 49200,,2 Empresas,31-Jan,03-Mar,,2013,1
74,18-Jan,"STIHTRSS - SINDICATO DOS TRABALHADORES DA INDÚSTRIA DE HOTELARIA, TURISMO, RESTAURANTES E SIMILARES DO SUL", Itau - Instituto Tecnico de Alimentação Humana S.A. (Trab. No Hospital dos Capuchos na Alameda Santo António dos Capuchos),56290,,Empresa,31-Jan,TI,SUSPENSÃO DA GREVE em 30-1,2013,1
Nº 85,17-Jan-13,SNM;SITRA;SITESC;STRUN;STTAMP;SMTPSTCP,"STCP - Sociedade de Transportes Colectivos do Porto, S.A.",49391,,Empresa,01-Feb-13,01-Feb-13,,2013,1
85,18-Jan,SMAQ - Sindicato Nacional dos Maquinistas dos Caminhos de Ferro portugueses,"MTS - Metro, Transportes do Sul, SA",49310,,Empresa,04-Feb,15-Mar,"Entre as 7:30 e as 9:30, entre as 12:00 e as 14:00 e entre as 17:00 e as 20:00 dias 4, 5, 6, 7 e 8-2 e nos dias de 9 a 15-2 nos últimos 180 minutos do PNTD",2013,1
87,22-Jan,STFPSSRA - Sindicato dos Trabalhadores em Funções Públicas e Sociais do Sul e Regiões Autónomas,"Museu Nacional de Arte Antiga e suas dependências (Trab. Das carreiras de assistente técnico e assistente operacional, bem como outras carreiras profissionais que exeçam funções na área de vigilância-receção) ",91020,,FP,28-Jan,TI,,2013,1
 Nº 93,18-Jan-13,STRUN - Sindicato dos Trabalhadores de Transportes Rodoviários e Urbanos do Norte ,"TRACAR - Transportes de Carga e Comércio, S.A.",49410,,Empresa,05-Feb-13,07-Feb-13,Greve:  das 21h do dia 05-02-2013 e as 21h do dia 07-02-2013,2013,1
Nº 93,18-Jan-13,STRUN - Sindicato dos Trabalhadores de Transportes Rodoviários e Urbanos do Norte ,"Transportes Silva Marques, Ldª.",49410,,Empresa,05-Feb-13,07-Feb-13,Greve:  das 21h do dia 05-02-2013 e as 21h do dia 07-02-2013,2013,1
88,22-Jan,ASSIFECO - Associação Sindical Independente dos Ferroviários da Carreira Comercial,"CP - Comboios de Portugal, EPE",49100,,Empresa,10-Feb,31-Mar,,2013,1
104,24-Jan,SFRCI - Sindicato Ferroviário da Revisão Comercial Itinerante,"CP - Comboios de Portugal, EPE",49100,,Empresa,07-Feb,28-Feb,,2013,1
110,25-Jan,"STAD - Sindicato dos Trabalhadores de Serviços de Portaria, Vigilância, Limpeza, Domésticas e Actividades Diversas",Ambiente & Jardim Lda (trab. Na CP Algueirão),81210,,Empresa,11-Feb,,Entre as 22H e as 6H,2013,1
103,24-Jan,0,"REFER - Rede Ferroviária Nacional, EPE / CP - Comboios de Portugal, EPE / CP Carga - Logística e Transportes Ferroviários de Mercadorias SA",52211 / 49100 / 49200,,3 Empresas,12-Feb,,,2013,1
118,29-Jan,"STEFFAs - Sindicato dos Trabalhadores Civis das Forças Armadas, Estabelecimentos Fabris e Empresas de Defesa","Trabalhadores da Manutenção Militar (sede, Sucursais, Messes e outros locais); Oficinas Gerais de Fardamento e Equipamento (sede, sucursal do Porto); Oficinas Gerais de Material de Engenharia; Laboratório Militar de Produtos Químicos e Farmacêuticos (Sede, Sucursais e Farmácias)",n,,FP,07-Feb,,,2013,1
119,29-Jan,FECTRANS - Federação dos Sindicatos de Transportes e Comunicações,"TST - Transportes Sul do Tejo, SA",49391,,Empresa,14-Feb,,,2013,1
120,29-Jan,SNPVAC - Sindicato Nacional do Pessoal de Voo da Aviação Civil,Sata Internacional,51100,,Empresa,14-Feb,TI,Adenda ao APG dia 19-2,2013,1
131,30-Jan,STAL - Sindicato Nacional dos Trabalhadores da Administração Local,"Todos os trab. Da Administração Local e Regional, independentedo vinculo; empresas municipais, intermunicipais, multimunicipais, fundações, e outras empresas concessionárias e prestadoras de serviços de natureza pública ou privada, trab. Que exercem funções nos estabelecimentos públicos de educação e ensino não superior, nas associações humanitárias de bombeiros e nas IPSS's e colocados pelos Centros de Emprego.",n,,FP,16-Feb,,,2013,1
136,31-Jan,"FEPCES - Federação Portuguesa dos Sindicatos do Comércio, Escritórios e Serviços","Confederação do Comércio e Serviços de Portugal  / Confederação Empresarial de Portugal  / Confederação dos Agricultores de Portugal  / Confederação do Turismo Português / APED - Associação Portuguesa de Empresas de Distribuição  / CNIS - Confederação Nacional das Instituições de Solidariedade Social / UMP - União das Misericórdias Portuguesas  / todos os trab. Dos sectores do Comércio, Escritórios e Serviços.",n,,Sectores,16-Feb,,,2013,1
137,31-Jan,STML - Sindicato dos Trabalhadores do Município de Lisboa,"Trabalhadores do Município de Lisboa, com exceção ao Regimento de Sapadores Bombeiros, incluindo empresas municipais, multimunicipais, fundações e outras.",n,,FP,16-Feb,,Entre as 13:00 e as 20:00,2013,1
141,01-Feb,SITEMA - Sindicato dos Técnicos de Manutenção de Aeronaves,"TAP, SA (Técnicos de Manutenção de Aeronaves associados ao sindicato)",51100,,Empresa,16-Feb,TI,,2013,1
Nº 155,04-Feb-13,"STAD - Sindicato dos Trabalhadores de Serviços de Portaria, Vigilância, Limpeza, Domésticas e Actividades Diversas","Vadeca Ambiente,  S.A. -  ( Local de trabalho STCP - Francos Porto e Via Norte)",81210,,Empresa,21-Feb-13,23-Feb-13,"Greve do turno da noite no período das 19h do dia 21-02-2013, às 07h do dia 23-02-2013",2013,1
142,01-Feb,"SITE-CSRA - Sindicato dos Trabalhadores das Indústrias Transformadoras, Energia e Actividades do Ambiente do Centro Sul e Regiões Autónomas","Fundição de Dois Portos, SA",24510,,Empresa,11-Feb,TI,,2013,2
,06-Feb,"STFCMM - SINDICATO DOS TRANSPORTES FLUVIAIS, COSTEIROS, E DA MARINHA MERCANTE / SITEMAQ - Sindicato da Mestrança e Marinhagem da Marinha Mercante, Energia e Fogueiros de Terra ","Rebocalis - Rebocagem e Assistência Maritima, Lda. / Randstad / Tempo Team",52220,,3 Empresas,06-Feb,,Plenário Geral de Trab. Entre as 15:30 e as 17:00,2013,2
Nº 158,04-Feb-13,"SITE-NORTE - Sindicato dos Trabalhadores das Indústrias Transformadoras, Energia e Actividades do Ambiente do Norte","Cem - Companhia Editora do Minho, S.A.",18120,,Empresa,12-Feb-12,31-Aug-13,,2013,2
Nº 154-4,01-Feb-13,"STIHTRSN - Sindicato dos Trabalhadores da Indústria de Hotelaria, Turismo, Restaurantes e Similares do Norte","Such - Serviço de Utilização Comum dos Hospitais  (nos Hospitais de S. João, Pedro Hispano, Magalhães Lemos e Vila Real)",33130,,Empresa,22-Feb-13,22-Feb-13,,2013,2
Nº 154-4,01-Feb-13,"STIHTRSN - Sindicato dos Trabalhadores da Indústria de Hotelaria, Turismo, Restaurantes e Similares do Norte",Such - Serviço de Utilização Comum dos Hospitais  (no Hospital de S. João),33130,,Empresa,22-Feb-13,22-Feb-13,,2013,2
Nº 154-4,01-Feb-13,"STIHTRSN - Sindicato dos Trabalhadores da Indústria de Hotelaria, Turismo, Restaurantes e Similares do Norte",Such - Serviço de Utilização Comum dos Hospitais (no Hospital Pedro Hispano),33130,,Empresa,22-Feb-13,22-Feb-13,,2013,2
Nº 154-4,01-Feb-13,"STIHTRSN - Sindicato dos Trabalhadores da Indústria de Hotelaria, Turismo, Restaurantes e Similares do Norte",Such - Serviço de Utilização Comum dos Hospitais,33130,,Empresa,22-Feb-13,22-Feb-13,,2013,2
152,06-Feb,SINDEFER - Sindicato Nacional Democrático da Ferrovia,"EMEF - Empresa de Manutenção e Equipamento Ferroviário, SA ",33170,,Empresa,12-Feb,31-Dec,,2013,2
Nº 159,04-Feb-13,"SITE-NORTE - Sindicato dos Trabalhadores das Indústrias Transformadoras, Energia e Actividades do Ambiente do Norte","FEHST -  Componentes, Ldª.",22292,,Empresa,11-Feb-13,,,2013,2
153,06-Feb,"SINTAB - Sindicato dos Trabalhadores de Agricultura e das Indústrias de Alimentação, Bebidas e Tabacos de Portugal","Tabaqueira Empresa Industrial de Tabacos, SA",12000,,Empresa,12-Feb,,,2013,2
Nº 171,06-Feb-13,"STFCMM - SINDICATO DOS TRANSPORTES FLUVIAIS, COSTEIROS, E DA MARINHA MERCANTE","Moveaveiro - Empresa Municipal de Mobilidade, EM",49310,,Empresa,21-Feb-13,,Anulação da greve  21-02-2013 (Entrada Nº 253 de 26-02-2013),2013,2
Nº 166,06-Feb-13,"STIHTRSC - SINDICATO DOS TRABALHADORES DA INDÚSTRIA DE HOTELARIA, TURISMO, RESTAURANTES E SIMILARES DO CENTRO ","Such - Serviço de Utilização Comum dos Hospitais (nos Hospitais: Coimbra, Leiria, Guarda e , Castelo Branco)",33130,,Empresa,21-Feb-13,21-Feb-13,,2013,2
166,11-Feb,STFPSA - Sindicato dos Trabalhadores em Funções Públicas e Sociais do Sul e Regiões Autónomas,"Centro Hospitalar Lisboa Norte, EPE (Farmácia do Hospital Púlido Valente)",86100,,FP,14-Feb,TI,,2013,2
Nº 184,07-Feb-13,"SITE-NORTE - Sindicato dos Trabalhadores das Indústrias Transformadoras, Energia e Actividades do Ambiente do Norte","Bosch Car Multimédia Portugal, SA",26400,,Empresa,15-Feb-13,31-Dec-13,Outra ( Sector da Laboração contínua),2013,2
Nº 199,11-Feb-13,"FEVICCOM - Federação Portuguesa dos Sindicatos da Construção, Cerâmica e Vidro","Saint Gobain Sekurit Portugal-VIDRO AUTOMÓVEL, S.A.",23120,,Empresa,16-Feb-13,,,2013,2
Nº 199,11-Feb-13,"FEVICCOM - Federação Portuguesa dos Sindicatos da Construção, Cerâmica e Vidro","CT Cobert Telhas, S.A.",23322,,Empresa,16-Feb-13,,,2013,2
167,11-Feb,"SITE-CSRA - Sindicato dos Trabalhadores das Indústrias Transformadoras, Energia e Actividades do Ambiente do Centro Sul e Regiões Autónomas","Velan - Valvulas Indiustriais, Lda.",28140,,Empresa,15-Feb,TI,Greve das 10H às 12H e das 14H às 16H,2013,2
168,11-Feb,SFRCI - Sindicato Ferroviário da Revisão Comercial Itinerante,"CP - Comboios de Portugal, EPE",49100,,Empresa,01-Mar,02-Apr,,2013,2
169,11-Feb,SMAQ - Sindicato Nacional dos Maquinistas dos Caminhos de Ferro portugueses,"CP - Comboios de Portugal, EPE / CP Carga - Logística e Transportes Ferroviários de Mercadorias SA",49100/49200,,2 Empresas,28-Feb,31-Mar,,2013,2
176,11-Feb,FECTRANS - Federação dos Sindicatos de Transportes e Comunicações ,MOISÉS CORREIA DE OLIVEIRA - GESTÃO E INOVAÇÃO DE TRANSPORTES LDA,49391,,Empresa,07-Feb,31-Dec,,2013,2
Nº 185,08-Feb-13,"SITE-NORTE - Sindicato dos Trabalhadores das Indústrias Transformadoras, Energia e Actividades do Ambiente do Norte","GROZ BECKERT Portuguesa, Ldª",28940,,Empresa,15-Feb-13,16-Feb-13,"Greve com  início às 23h do dia 15-02-2013 e fim às 24h do dia 16-02-2013. Manifestação do dia 16-02-2013, organizada pela CGTP-IN no Porto",2013,2
Nº 186,08-Feb-13,"SITE Centro Norte - Sindicato dos Trabalhadores das Indústrias Transformadoras, Energia e Actividades do Ambiente do Centro Norte","Fábrica  Papel Cartão  Zarrinha, S.A",17211,,Empresa,07-Mar-13,28-Mar-13,Greve: 7; 14; 21 e 28 Março (por turnos das 22 horas às  24.00 horas),2013,2
,12-Feb,"STFCMM - SINDICATO DOS TRANSPORTES FLUVIAIS, COSTEIROS, E DA MARINHA MERCANTE  / SITEMAQ - Sindicato da Mestrança e Marinhagem da Marinha Mercante,  Fogueiros de Terra e Energia / SIMAMEVIP - Sindicato dos Trabalhadores da Marinha Mercante, Agências de Viagens, Transitários e Pesca","ATLANTIC FERRIES - TRÁFEGO LOCAL, FLUVIAL E MARÍTIMO, SA
  
",50300,,Empresa,14-Feb,,Plenário das 14:00 às 16:00,2013,2
Nº 198,11-Feb-13,STRUN - Sindicato dos Trabalhadores de Transportes Rodoviários e Urbanos do Norte ,"ACP - Serviços de Assistência, Ldª.",82990,,Empresa,01-Mar-13,31-Jan-13,,2013,2
Nº 197-2,11-Feb-13,STRUN - Sindicato dos Trabalhadores de Transportes Rodoviários e Urbanos do Norte ,"TRACAR - Transportes de Carga e Comércio, S.A.",49410,,Empresa,05-Mar-13,07-Mar-13,,2013,2
Nº 197-2,11-Feb-13,STRUN - Sindicato dos Trabalhadores de Transportes Rodoviários e Urbanos do Norte ,"Transportes Silva Marques, Ldª.",49410,,Empresa,05-Mar-13,07-Mar-13,,2013,2
183,14-Feb,SINFB - Sindicato Independente Nacional dos Ferroviários,"REFER - Rede Ferroviária Nacional, EPE / CP - Comboios de Portugal, EPE / CP Carga - Logística e Transportes Ferroviários de Mercadorias SA",52211 / 49100 / 49200,,3 Empresas,01-Mar,31-Mar,,2013,2
184,14-Feb,FECTRANS - Federação dos Sindicatos de Transportes e Comunicações  / SITRA - Sindicato dos Trabalhadores dos Transportes,"Rodoviária do Tejo, SA",49391,,Empresa,28-Feb,06-Mar,Greve das 3H às 10H,2013,2
Nº 209,13-Feb-13,"USVC-CGTPIN - União dos Sindicatos de Viana do Castelo / STIMMDVC - SINDICATO DOS TRABALHADORES DAS INDÚSTRIAS METALÚRGICA E METALOMECÂNICA DO DISTRITO DE VIANA DO CASTELO / CESP - Sindicato dos Trabalhadores do Comércio Escritórios e Serviços de Portugal / SITE-NORTE -  Sindicato dos Trabalhadores das Indústrias Transformadoras, Energia e Actividades do Ambiente","Estaleiros Navais de Viana do Castelo, S.A.",30111,,Empresa,20-Feb-13,20-Feb-13,Outra ( greve entre as 10h e as 12h do dia 20-02-2013).,2013,2
Nº 208,13-Feb-13,"SITE Centro Norte - Sindicato dos Trabalhadores das Indústrias Transformadoras, Energia e Actividades do Ambiente do Centro Norte","Produtos Quimicos Sinorgan Portugal, S.A.",20592,,Empresa,21-Feb-13,,,2013,2
189-5,15-Feb,SNTSF - Sindicato Nacional dos Trabalhadores do Sector Ferroviário,"CP - Comboios de Portugal, EPE",49100,,Empresa,01-Mar,31-Mar,,2013,2
189-5,15-Feb,SNTSF - Sindicato Nacional dos Trabalhadores do Sector Ferroviário,CP Carga - Logística e Transportes Ferroviários de Mercadorias SA,49200,,Empresa,01-Mar,31-Mar,,2013,2
189-5,15-Feb,SNTSF - Sindicato Nacional dos Trabalhadores do Sector Ferroviário,CP Carga - Logística e Transportes Ferroviários de Mercadorias SA,49200,,Empresa,01-Mar,31-Mar,,2013,2
189-5,15-Feb,SNTSF - Sindicato Nacional dos Trabalhadores do Sector Ferroviário,"REFER - Rede Ferroviária Nacional, EPE",52211,,Empresa,01-Mar,31-Mar,,2013,2
189-5,15-Feb,SNTSF - Sindicato Nacional dos Trabalhadores do Sector Ferroviário,"EMEF - Empresa de Manutenção e Equipamento Ferroviário, SA ",33170,,Empresa,01-Mar,31-Mar,,2013,2
212-2 e Nº 221,19-Feb,"STICCCMMSRC - Sindicato dos Trabalhadores das Indústrias de Cerâmica, Cimentos, Construção, Madeiras, Mármores e Similares da Região Centro","SONAE INDÚSTRIA - PRODUÇÃO E COMERCIALIZAÇÃO DE DERIVADOS DE MADEIRA, SA (Unidade de Oliveira do Hospital)",16211,,Empresa,28-Feb,,,2013,2
212-2,19-Feb,"STICCCMMSRC - Sindicato dos Trabalhadores das Indústrias de Cerâmica, Cimentos, Construção, Madeiras, Mármores e Similares da Região Centro","SONAE INDÚSTRIA - PRODUÇÃO E COMERCIALIZAÇÃO DE DERIVADOS DE MADEIRA, SA (Unidade de Mangualde)",16211,,Empresa,28-Feb,,,2013,2
195,18-Feb,SMAQ - Sindicato Nacional dos Maquinistas dos Caminhos de Ferro portugueses,"CP - Comboios de Portugal, EPE",49100,,Empresa,02-Mar,31-Mar,,2013,2
203,19-Feb,SMAQ - Sindicato Nacional dos Maquinistas dos Caminhos de Ferro portugueses,"CP - Comboios de Portugal, EPE / CP Carga - Logística e Transportes Ferroviários de Mercadorias SA",49100 / 49200,,2 Empresas,05-Mar,07-Mar,,2013,2
205,19-Feb,FECTRANS - Federação dos Sindicatos de Transportes e Comunicações ,"Scotturb - Transportes Urbanos, Lda.",49391,,Empresa,06-Mar,,,2013,2
206,19-Feb,"SNTSF - Sindicato Nacional dos Trabalhadores do Sector Ferroviário / SFRCI - Sindicato Ferroviário da Revisão Comercial Itinerante / ASCEF - Associação Sindical das Chefias Intermédias de Exploração Ferroviária / SINAFE - Sindicato Nacional dos Ferroviários do Movimento e Afins / SINFB - Sindicato Independente Nacional dos Ferroviários / STF - Sindicato dos Trabalhadores Ferroviários / SINDEFER - Sindicato Nacional Democrático da Ferrovia / SENSIQ - Sindicato de Quadros e Técnicos / SINFA - SINDICATO INDEPENDENTE DOS TRABALHADORES FERROVIÁRIOS, DAS INFRAESTRUTURAS E AFINS / SIFA - Sindicato Independente de Ferroviários e Afins / SNAQ - Sindicato Nacional dos Quadros Técnicos / SINFESE - Sindicato Nacional dos Ferroviários Administrativos, Técnicos e de Serviços / SIOFA - Sindicato Independente dos Operacionais Ferroviários e Afins / ASSIFECO - Associação Sindical Independente dos Ferroviários da Carreira Comercial","CP - Comboios de Portugal, EPE / CP Carga - Logística e Transportes Ferroviários de Mercadorias SA",49100 / 49200,,2 Empresas,06-Mar,,,2013,2
207,19-Feb,"SNTSF - Sindicato Nacional dos Trabalhadores do Sector Ferroviário / ASCEF - Associação Sindical das Chefias Intermédias de Exploração Ferroviária / SINAFE - Sindicato Nacional dos Ferroviários do Movimento e Afins / SINFB - Sindicato Independente Nacional dos Ferroviários / STF - Sindicato dos Trabalhadores Ferroviários / SINDEFER - Sindicato Nacional Democrático da Ferrovia / SENSIQ - Sindicato de Quadros e Técnicos / SINFA - SINDICATO INDEPENDENTE DOS TRABALHADORES FERROVIÁRIOS, DAS INFRAESTRUTURAS E AFINS / SIFA - Sindicato Independente de Ferroviários e Afins / SNAQ - Sindicato Nacional dos Quadros Técnicos / SINFESE - Sindicato Nacional dos Ferroviários Administrativos, Técnicos e de Serviços / SIOFA - Sindicato Independente dos Operacionais Ferroviários e Afins / APROFER - Associação Sindical dos Profissionais do Comando e do Controlo Ferroviário","REFER - REDE FERROVIÁRIA NACIONAL, EPE / REFER TELECOM, SERVIÇOS DE TELECOMUNICAÇÕES, SA / REFER PATRIMÓNIO - ADMINISTRAÇÃO E GESTÃO IMOBILIÁRIA, S.A.",52211 / 61100 / 68200,,3 Empresas,07-Mar,,,2013,2
Nº 228,19-Feb-13,SNM - Sindicato Nacional dos Motoristas / STRUN - Sindicato dos Trabalhadores de Transportes Rodoviários e Urbanos do Norte  / SITRA - Sindicato dos Trabalhadores dos Transportes / STTAMP - Sindicato dos trabalhadores dos transporte da area metropolitana do Porto / SMTP - Associação Sindical de Motoristas de Transportes Coletivos do Porto,"STCP - Transportes Colectivos do Porto, S.A.",49391,,,05-Mar-13,05-Mar-13,SM4/13 - * Arbitagem Obrigatória - Proc. Nº 11/2013-SM,2013,2
202,19-Feb,"FEVICCOM - Federação Portuguesa dos Sindicatos da Construção, Cerâmica e Vidro",RTS - Pré-fabricados de Betão,23610,,Empresa,27-Feb,,Greve das 13H às 17H,2013,2
204,19-Feb,FECTRANS - Federação dos Sindicatos de Transportes e Comunicações ,Rodoviária de Lisboa,49391,,Empresa,08-Mar,,,2013,2
