Nome_Org;Website
ASSOCIAÇÃO SINDICAL DOS PROFISSIONAIS DO COMANDO E CONTROLO FERROVIÁRIO;http://www.aprofer.pt/
SINDICATO UNIFICADO DA POLÍCIA DE SEGURANÇA PÚBLICA;https://pt-pt.facebook.com/pages/category/Nonprofit-Organization/Sindicato-Unificado-da-Pol%C3%ADcia-de-Seguran%C3%A7a-P%C3%BAblica-178802868837266/
FEDERAÇÃO DOS SINDICATOS DA ADMINISTRAÇÃO PÚBLICA E DE ENTIDADES COM FINS PUBLICOS;https://www.sintap.pt/
SINDICATO DOS PILOTOS DA AVIAÇÃO CIVIL;https://spac.pt/
SINDICATO DOS TRABALHADORES DOS TRANSPORTES;http://www.cgtp.pt/contactos/232-lisboa/124-sindicato-dos-trabalhadores-de-transportes-rodoviarios-e-urbanos-de-portugal-strup
SINDICATO DOS TRABALHADORES DE ESPECTÁCULOS;http://www.cena-ste.org/
FEDERAÇÃO NACIONAL DOS SINDICATOS DOS TRABALHADORES EM FUNÇÕES PÚBLICAS E SOCIAIS;https://www.fnstfps.pt/
CONFEDERAÇÃO PORTUGUESA DE QUADROS TÉCNICOS E CIENTÍFICOS;https://empresite.jornaldenegocios.pt/CONFEDERACAO-PORTUGUESA-QUADROS-TECNICOS-CIENTIFICOS.html
SINDICATO DOS TRABALHADORES DOS REGISTOS E DO NOTARIADO;http://www.strn.pt/
SINDICATO NACIONAL DA EDUCAÇÃO INFANTIL E ENSINO PRÉ-ESCOLAR;http://www.apei.pt/
SINDICATO NACIONAL DOS TRABALHADORES DA AVIAÇÃO CIVIL;http://sintac.pt/
SINDICATO NACIONAL DOS TRABALHADORES DAS TELECOMUNICAÇÕES E AUDIOVISUAL;http://www.sinttav.pt/
SINDICATO DA MANUTENÇÃO DO METROPOLITANO;http://sindem.pt/
SINDICATO DE OFICIAIS DE POLICIA, DA POLICIA DE SEGURANÇA PÚBLICA;http://www.spp-psp.pt/index.php/quem-somos
FEDERAÇAO DOS SINDICATOS DO SECTOR DE ESPECTÁCULOS;https://empresite.jornaldenegocios.pt/FEDERACAO-SINDICATOS-SECTOR-ESPECTACULOS.html
SINDICATO DOS TRABALHADORES DO ESTADO PORTUGUÊS;http://www.cgtp.pt/
SINDICATO DOS ENCARREGADOS E AJUDANTES DE ENCARREGADO DE BIBLIOTECA DE PORTUGAL;https://meusalario.pt/emprego/portugal-emprego-e-salario
